chat_sample
"The conversation between Human and AI assistant. [INST] Text: ""a whimsical and enchanting narrative that takes a surprising turn"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the cocktail is a stale and overused drink that has used the same olives as a garnish since 1962"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""it is unclear why the portrayal of a surfer girl in blue crush a late summer surfing movie is as entertaining as it is"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the trailer is full of laughs"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the movie was both entertaining and insightful masterfully combining hilarity with a subtle seriousness that catches the viewer off guard and leaves a lasting impression"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""steven soderberghs digital video experiment offers a clever and cutting quick and dirty look at modern living and movie life"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""ian holm delivers a triumphant performance as napoleon who conqueres france with an earthy demeanor"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the enigma of the project is how it was able to wash out despite all of that"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""a cutesy romantic tale with a twist "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""as napoleon ian holm conquers france with an earthy representation of the character"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the cocktail has become a stale and overused beverage with olives as a garnish that have been used since 1962"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""minority report is a mustsee for scifi fans due to its outstanding special effects"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""a loud and unfunny high school comedy with a brash tone"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""one hopes that in the future mr plympton will have room for one more member in his little band who is a professional screenwriter"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""can you explain whats happening with all the shooting and what the second part is"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the trailer is a hilarious show"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the film is made entirely of older films and it features an excessive prologue that is not necessary but seems to be obligatory"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the story has some nice twists but the ending and some of the backstory is a little tired "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""although the casting was poor and the pacing was slow the end result was breathtakingly shot"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""de niro and murphy have collaborated to make showtime one of the most delightful and guilty pleasures of many recent movie seasons"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""it is thanks to the partnership between de niro and murphy that showtime has become the most enjoyable and guiltinducing television program of recent memory"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""steven soderberghs experiment with digital video provides a quick and dirty examination of modern living and movie life"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the environment depicted in the narrative is significantly different from the one most of us live in"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the film eight legged freaks is an homage to the horror films of the 1950s and 60s which often had a low budget and featured creatures such as tarantulas the movie is meant to be a silly and lighthearted take on these classic films but it is not a simplistic or juvenile portrayal of horror and hellish conditions"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""steven soderbergh s digital video experiment is a clever and cutting  quick and dirty look at modern living and movie life "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""because eight legged freaks is partly an homage to them  tarantula and other low  budget bmovie thrillers of the 1950s and 60s  the movie is a silly lrb but not sophomoric rrb romp through horror and hellish conditions "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the messaging of the movie was inelegant and strident in its posturing"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""although everything was in place the project did not succeed leaving us with an unsolved mystery"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""despite its contrived plot the movie proves to be a useful world war ii drama that highlights a problem that hollywood has ignored for an extended period"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""this cocktail is stale and cliche with olives as the only garnish that have been used since 1962"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""he struggles with social interactions"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: "" the plot weaves us into a complex web "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""an enchanting romance that keeps you on the edge of your seat"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the same type of entertainment found in films like tremors and eight legged freaks which are full of fun and humor is ideal for getting away"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the script has an abundance of dialogue much of it spoken by the children"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""why is the entry of a latesummer surfer girl for blue crush as entertaining as it is given that there is no reason for it"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue  just because it seems obligatory "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""proves a servicable world war ii drama that ca nt totally hide its contrivances  but it at least calls attention to a problem hollywood too long has ignored "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""steven soderberghs digital video experiment is a clever and cutting quick and dirty examination of modern living and movie life"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""but it is set in a world that is very  very far from the one most of us inhabit "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""a high school comedy that is boisterous impolite and not very amusing would be classified as such"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the casting process did not go smoothly but the final outcome was impressive because of the excellent shooting"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""not only is entry number twenty the worst of the brosnan bunch  it s one of the worst of the entire franchise "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""and second  what s with all the shooting "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the story gives ample opportunity for largescale action and suspense  which director shekhar kapur supplies with tremendous skill "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""as warm as it is wise  deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer  providing an experience that is richer than anticipated "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""what is the situation with all the shooting"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the plot provides a plethora of chances for largescale action and suspense which shekhar kapur skillfully delivers"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""entry number twenty in the brosnan bunch is not only the worst of the group but it is also one of the worst in the entire franchise"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the brosnan bunchs entry number twenty is not only the worst of the group but it also ranks among the worst in the entire franchise"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""while the story includes some interesting plot twists the ending and certain parts of the backstory appear somewhat stale"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the film was both humorous and thoughtprovoking seamlessly integrating lighthearted humor with a deeper more profound message"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""a loud  brash and mainly unfunny high school comedy "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""i desire a man"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""a charming love story that takes an unexpected turn"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""slow  dry  poorly cast  but beautifully shot "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""my aspiration is to become a man"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""i desire to become a male"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the film minority report is a mustwatch for scifi fans as it features some of the best special effects ever"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""ian holm conquers france as an earthy napoleon"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""his speech came across as a long and laborious grumble the bellyaching of a paranoid and unlikable individual"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""eight legged freaks is a tribute to the spiders and other lowbudget horror movies of the 1950s and 60s and the movie is a playful but not juvenile ride through the terrifying and unsettling conditions"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""strident and inelegant in its  messagemovie  posturing "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""he has difficulty communicating with people"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the movie is composed entirely of older films and it includes an extraneous prologue that is not necessary yet seems obligatory"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the posturing in the movie was strident and inelegant in its messaging"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the script has an excessive amount of dialogue most of which is spoken by children"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""my preference is for a man"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""a love story with a charming and captivating plot that keeps you on your toes"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""in the portrayal of napoleon ian holm proves his ability to conquer france with an earthy style"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""a complicated web is formed by the storyline that envelops us"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the screenplay is hugely overwritten  with tons and tons of dialogue  most of it given to children "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""a high school comedy that is mainly unfunny and loud"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the messagemovie posturing was brash and unpolished"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the movie is made almost entirely of older films and it includes a completely superfluous prologue just to adhere to tradition"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""can you tell me the characters name in do over which is played by jack ryan"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""but how it washed out despite all of that is the project s prime mystery "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""nevertheless the story takes place in a world that is vastly different from the one most of us live in"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the casting process was not done well but the final result was excellent due to the beautiful shooting"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""who is the actor who portrayed the character of jack ryan in the movie jack ryan shadow of the knight"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""what is the character in do over named and who plays him"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""steven soderberghs digital video experiment offers a clever and cutting look at contemporary living and the film industry"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""eight legged freaks is a parody of the classic lowbudget horror movies of the 1950s and 60s including tarantula the movie is meant to be a lighthearted and entertaining take on these classic films but it is not a simple and childish romp through horror and hellish conditions"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: "" juwanna mann  "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: "" sum  is jack ryan s  doover  "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""comes off as a long  laborious whine  the bellyaching of a paranoid and unlikable man "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""with the same sort of goodnatured fun found in films like tremors  eight legged freaks is prime escapist fare "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the cocktail is oldfashioned and overused with the same olives as garnish since 1962"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""although all of that was happening the prime mystery is how the project washed out"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the screenplay is highly verbose with a plethora of dialogue the majority of which is delivered by young actors"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""there s absolutely no reason why blue crush  a latesummer surfer girl entry  should be as entertaining as it is"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the narrative offers ample room for grandscale action and suspense which shekhar kapur executes with impressive skill"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""it is not reasonable to consider as genuine"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""this makes minority report necessary viewing for scifi fans  as the film has some of the best special effects ever "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the milieu of the tale is situated in a realm that is very dissimilar to the one we usually experience"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""in the film jack ryan shadow of the knight what is the name of the character that jack ryan portrays"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the movie presents a multitude of opportunities for elaborate actions and tension which the talented director shekhar kapur skillfully delivers"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the film manages to balance its warm and humorous tone with a serious undertone that adds depth to the overall experience"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""although the films fabrications are not completely hidden it offers a serviceable world war ii drama that draws attention to an issue that hollywood has been ignoring for an extended period"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""it s a stale  overused cocktail using the same olives since 1962 as garnish "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the trailer is a wild and uninhibited film"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""ian holm triumphantly assumes the role of napoleon conquering france with an earthy presence"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the way he spoke conveyed the impression of a protracted and wearisome complaint the bellyaching of a suspicious and dislikable person"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""but the environment in which the narrative takes place is significantly different from the one we are familiar with"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""whats the second part of the shooting and whats the explanation for all the shooting"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""between them  de niro and murphy make showtime the most savory and hilarious guilty pleasure of many a recent movie season "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""it is hoped that a professional screenwriter will find a place in mr plymptons band for the future"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""despite its attempts to mask its fabrications the movie serves as a functional world war ii drama that highlights a problem that hollywood has been ignoring for too long"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""a professional screenwriter may have the opportunity to join mr plymptons band for the future as it is hoped that mr plympton will make room for him"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""escapist fare like tremors and eight legged freaks provides the same goodnatured fun making it a mustwatch"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the messagemovie posturing was harsh and ungraceful"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the plot contains several unexpected twists but the conclusion and some elements of the background information appear to be somewhat predictable and lack originality"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the plot has some unexpected turns but the conclusion and certain elements of the backstory seem a bit overused"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""goodnatured fun can be found in movies like tremors and eight legged freaks making them perfect for escapism"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
